id,name,min_yr,max_yr,total_record,resolution,record_holocene,record_deglacier,resolution_holocene,resolution_deglacier
257,HavredeCrabec.Coutard.2006.lpd.csv,5.01,6837.88,51,133.9778431,51,0,133.9778431,0
258,HawkeHillsKettle.Macpherson.1982.lpd.csv,-27,8121,38,214.4210526,38,0,214.4210526,0
259,HeihaiLake.Chang.2017.lpd.csv,-59,5224,54,97.83333333,54,0,97.83333333,0
260,HeshangCave.Wang.2018.lpd.csv,73,8807,73,119.6438356,73,0,119.6438356,0
261,HiddenLakeCA.Potito.2006.lpd.csv,15.6,15314.15,57,268.395614,41,16,238.7504878,364.154375
262,High.Fuller.1997.lpd.csv,0,10566,185,57.11351351,182,3,54.2967033,285
263,Hinterburgsee.Heiri.2015.lpd.csv,-34.882,553.696,62,9.493193548,62,0,9.493193548,0
264,Hinterburgseeli.EPD.lpd.csv,-34.71,12619.89,100,126.546,66,34,149.1915152,90.29117647
265,Hirvijaervi.Luoto.2010.lpd.csv,0,11500,44,261.3636364,34,10,283.3823529,209.13
266,HLY03_05GC.Mohtadi.2008.lpd.csv,-10.563,10277,38,270.7253421,33,5,302.1079697,74.2
267,HLY0501.deVernal.2013.lpd.csv,225.35,8209.4,70,114.0578571,70,0,114.0578571,0
