time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
8800,0.080050455,0.138551541,0.013078477,0.012425291,0.041350992,0.207986687,0.967994422,0.306964744,0.020309015,0.176078284,0.065482793,0.114919106,0.213353848,1.006895378,0.152360929,0.362756421,0.062107677,0.100251217,0.122364848,0.055584787,0.100601852,0.095414725,0.081133722,0.069659618,0.374694044,0.080207307,0.176071078,0.943517711,0.579016808,0.061189325,0.279443805
8900,0.107949124,0.088766558,0.081064115,0.145306071,0.161202492,0.127026836,0.67287496,0.22472103,0.152099205,0.163204651,0.02726658,0.093841334,0.087551848,0.988840649,0.174262421,0.379313796,0.084974587,0.067851817,0.104644723,0.068991412,0.094664942,0.130067153,0.052350522,0.027529951,0.329068057,0.073089307,0.184568892,0.82063648,0.269963794,0.075550658,0.211073805
9000,0.494099465,0.208393799,0.326825344,0.320893751,0.281973992,0.496725776,1.116245835,0.549185744,0.28173132,0.535886389,0.35302168,0.385946242,0.384273277,1.456254035,0.238835206,0.490515483,0.152705087,0.127723417,0.129751986,0.148928287,0.103739306,0.102037296,0.105071922,0.107681285,0.357379007,0.079813907,0.133142778,0.780601018,1.364223881,0.161619992,0.309783805
9100,0.616871742,0.207853284,0.346888905,0.302092691,0.255676225,0.433806996,0.918892341,0.424928458,0.56656412,0.149454565,0.44920423,0.244951502,0.239270134,1.188796935,0.314173606,0.559958296,0.080575814,0.02377365,0.018141636,0.177094662,0.074257397,0.04513601,0.080024922,0.038069785,0.242578282,0.052254807,0.094276778,0.681190249,0.696223124,0.094957658,0.082269305
9200,0.473256978,0.323831343,0.351608208,0.413037351,0.413797158,0.404761172,1.408696447,0.532132744,0.346038024,0.643079913,0.540459255,0.519593747,0.570205848,1.602564092,0.281920167,0.510539546,0.161222087,0.138956984,0.168627511,0.165590912,0.090431306,0.094442725,0.117899322,0.107571451,0.282745919,0.033553907,0.134856321,0.676271403,1.863510692,0.123028658,0.249512305
9300,0.340423587,0.210925104,0.315206595,0.490267931,0.456925542,0.532192906,0.842688489,0.478691887,0.304180596,0.728413127,0.51394993,0.523971864,0.459208705,1.196326756,0.264946983,0.290659858,0.195414314,0.103994217,0.113432936,0.163404912,0.099408579,0.031440868,0.098474722,0.097244785,0.303284082,0.017429307,0.108104249,0.742156249,1.220555523,0.070312992,0.153492305
9400,0.308253796,0.199337486,0.303397974,0.282665671,0.288666258,0.31903836,0.84892688,0.350664601,0.2734405,0.308205918,0.41271183,0.246062293,0.365290705,0.902719478,0.166851606,0.245692983,0.177361087,0.12579815,0.177189173,0.123291162,0.041758579,0.041719296,0.079701122,0.077017118,0.328537169,0.018555307,0.102914149,0.714136634,1.002145958,0.068641325,0.166869805
9500,0.272982792,0.210004362,0.296859507,0.421209051,0.410552908,0.448112566,0.739393564,0.36117603,0.489814705,0.982707827,0.774214418,0.916940618,0.478630348,1.35154847,0.128967283,0.299323796,0.196817359,0.037913084,0.049905223,0.175475287,0.068288579,0.060705296,0.089233922,0.105919118,0.247489782,0.007523107,0.095941121,0.622560865,1.466360631,0.101247325,0.155151805
9600,0.459392201,0.106234266,0.266808792,0.262081911,0.222375208,0.490989651,0.750412705,0.467985887,0.390496591,0.287082141,0.38772973,0.415554884,0.402578277,0.883152213,0.198902813,0.296151796,0.23268345,0.05171265,0.114358673,0.173756162,0.052599488,0.043250153,0.070018922,0.068188285,0.163936344,0.035168207,0.073139292,0.541768942,1.05086899,0.090820658,0.259929305
9700,0.342495196,0.130884099,0.23967088,0.268301091,0.197006075,0.125715967,0.289536532,0.312249458,0.334413124,0.221853222,0.418706718,0.39753856,0.368859491,0.732298178,0.173339929,0.278247421,0.208324359,-0.00134715,-0.005401514,0.162411787,0.062756579,0.000366296,0.091106522,0.085935951,0.181910407,-0.020466393,0.033151292,0.560313826,0.406260782,0.024341658,0.355304805
